date,type,id,title,imdb,tmdb,fandango,scary-meter,release-year,release-day,runtime,plot,notes,poster,trailer
2025-10-01,Ween,Scream (1996),Scream,tt0117571,4232,,5.5,1996,Dec 20,1h 51m,A masked killer targets a past victim's daughter.,🏆 2024 Biggest Weener pick,https://image.tmdb.org/t/p/w500/lr9ZIrmuwVmZhpZuTCW8D9g0ZJe.jpg,https://www.youtube.com/watch?v=lvR_kKGfax0
2025-10-01,Weenie,Scary Movie (2000),Scary Movie,tt0175142,4247,,0.0,2000,Jul 07,1h 28m,"A year after disposing of the body of a man they accidentally killed, a group of dumb teenagers are stalked by a bumbling serial killer.",🏆 2024 Biggest Weenie pick,https://image.tmdb.org/t/p/w500/fVQFPRuw3yWXojYDJvA5EoFjUOY.jpg,https://www.youtube.com/watch?v=HTLPULt0eJ4
2025-10-02,Ween,Friday the 13th Part 3 (1982),Friday the 13th Part 3,tt0083972,9728,,5.7,1982,Aug 13,1h 35m,Jason Voorhees stalks a group of friends who have just arrived to spend the weekend at a cabin near Crystal Lake.,,https://image.tmdb.org/t/p/w500/9kukTSlgFgXnQGdpcHvHcpTDiUc.jpg,https://www.youtube.com/watch?v=sAzkW7HFh5U
2025-10-02,Weenie,Donnie Darko (2001),Donnie Darko,tt0246578,141,,3.5,2001,Jan 19,1h 53m,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.",🏆 2024 Biggest Weener pick,https://image.tmdb.org/t/p/w500/fhQoQfejY1hUcwyuLgpBrYs6uFt.jpg,https://www.youtube.com/watch?v=bzLn8sYeM9o
2025-10-03,Ween,The Conjuring: Last Rites (2025),The Conjuring: Last Rites,tt22898462,1038392,https://www.fandango.com/the-conjuring-last-rites-2025-240617/movie-overview,7.9,2025,Sep 05,2h 15m,Paranormal investigators Ed and Lorraine Warren take on one last terrifying case involving mysterious entities they must confront.,,https://image.tmdb.org/t/p/w500/7JzOmJ1fIU43I3gLHYsY8UzNzjG.jpg,https://www.youtube.com/watch?v=bMgfsdYoEEo
2025-10-03,Weenie,Addams Family Values (1993),Addams Family Values,tt0106220,2758,,0.0,1993,Nov 19,1h 34m,"The Addams Family try to rescue their beloved Uncle Fester from his gold-digging new love, a black widow named Debbie.",🏆 2024 Biggest Weenie pick,https://image.tmdb.org/t/p/w500/sdxT2VjVSx9DRicwnuECUdBHeE7.jpg,https://www.youtube.com/watch?v=Bb2FTulPpOA
2025-10-04,Ween,Terrifier 2 (2022),Terrifier 2,tt10403420,663712,,7.0,2022,Oct 06,2h 18m,"Resurrected by a sinister entity, Art the Clown returns to Miles County to terrorize a teenage girl and her younger brother on Halloween night.",,https://image.tmdb.org/t/p/w500/qEAlwXbYk6IHA4ztoS2XFFaa7Xo.jpg,https://www.youtube.com/watch?v=6KkONLf_ZKU
2025-10-04,Weenie,Five Nights at Freddy's (2023),Five Nights at Freddy's,tt4589218,507089,,4.1,2023,Oct 27,1h 49m,"A troubled security guard begins working at Freddy Fazbear's Pizza. During his five nights on the job, he realizes that something is wrong with the pizzeria and pretty soon finds the truth about its animatronics.",,https://image.tmdb.org/t/p/w500/7BpNtNfxuocYEVREzVMO75hso1l.jpg,https://www.youtube.com/watch?v=0VH9WCFV6XQ
2025-10-05,Ween,HIM (2025),HIM,tt20990442,986097,https://www.fandango.com/him-2025-240137/movie-overview,?,2025,Sep 19,1h 36m,A promising young football player joins an isolated compound to train under a dynasty team's aging quarterback.,,https://image.tmdb.org/t/p/w500/qPJzcYR2f1O1uynYBCVPPJuOiAH.jpg,https://www.youtube.com/watch?v=hpEy0iOixb4
2025-10-05,Weenie,Jennifer's Body (2009),Jennifer's Body,tt1131734,19994,,4.7,2009,Sep 18,1h 42m,A newly-possessed high-school cheerleader turns into a succubus who specializes in killing her male classmates. Can her best friend put an end to the horror?,,https://image.tmdb.org/t/p/w500/wrkjsGcFJxcQqR56kJUYAEKKg2T.jpg,https://www.youtube.com/watch?v=C8azftM5puI
2025-10-06,Ween,Wolf Man (2025),Wolf Man,tt4216984,710295,,6.8,2025,Jan 17,1h 43m,"A family at a remote farmhouse is attacked by an unseen animal, but as the night stretches on, the father begins to transform into something unrecognizable.",,https://image.tmdb.org/t/p/w500/wpSDzTBfF0Eeo5lzu2w9FTujGqd.jpg,https://www.youtube.com/watch?v=kAw4PH2IQgo
